name,type,category,rating,price,address,review_score,link,source
View Ethiopia Tour,tour agency,"የጉዞ ወኪል · next to, Ezana",4.8(20),,,,https://www.google.com/maps/place/View+Ethiopia+Tour/data=!4m7!3m6!1s0x17babb580f5e2e21:0x76d52393ef4879f0!8m2!3d6.0065309!4d37.5415684!16s%2Fg%2F11gtz1fyy7!19sChIJIS5eD1i7uhcR8HlI75Mj1XY?authuser=0&hl=am&rclk=1,Google Maps
Visit Arba Minch Easily (አርባምንጭን ከእኛ ጋር በቀላሉ ይጎብኙ),tour agency,አስጎብኚ · ,4.5(4),,,,https://www.google.com/maps/place/Visit+Arba+Minch+Easily+%28%E1%8A%A0%E1%88%AD%E1%89%A3%E1%88%9D%E1%8A%95%E1%8C%AD%E1%8A%95+%E1%8A%A8%E1%8A%A5%E1%8A%9B+%E1%8C%8B%E1%88%AD+%E1%89%A0%E1%89%80%E1%88%8B%E1%88%89+%E1%8B%AD%E1%8C%8E%E1%89%A5%E1%8A%99%29/data=!4m7!3m6!1s0x164b8509d9688835:0x2cfcd15c198b62e2!8m2!3d8.9892165!4d38.7927407!16s%2Fg%2F11sqpxznc0!19sChIJNYho2QmFSxYR4mKLGVzR_Cw?authuser=0&hl=am&rclk=1,Google Maps
Enset Ethiopia Tours,tour agency,የጉብኝት ኤጀንሲ · Arbaminch,5.0(1),,,,https://www.google.com/maps/place/Enset+Ethiopia+Tours/data=!4m7!3m6!1s0x17babb90841cfdcd:0x9dd35099a87e2269!8m2!3d6.033644!4d37.5583203!16s%2Fg%2F11lmcsgr21!19sChIJzf0chJC7uhcRaSJ-qJlQ050?authuser=0&hl=am&rclk=1,Google Maps
Roots South Ethiopia Tours,tour agency,የጉብኝት ኤጀንሲ,5.0(5),,,,https://www.google.com/maps/place/Roots+South+Ethiopia+Tours/data=!4m7!3m6!1s0xa522cf9ef6d1989b:0x1e000e349ad63c37!8m2!3d6.0332034!4d37.5577648!16s%2Fg%2F11trcz3wrv!19sChIJm5jR9p7PIqURNzzWmjQOAB4?authuser=0&hl=am&rclk=1,Google Maps
Mystery land Ethiopia tour,tour agency,አስጎብኚ ·  · Sikela Street,5.0(19),,,,https://www.google.com/maps/place/Mystery+land+Ethiopia+tour/data=!4m7!3m6!1s0x17babd93fd14ad9b:0x3ffd5ec6e3649dde!8m2!3d6.033862!4d37.5577389!16s%2Fg%2F11k9f3rv91!19sChIJm60U_ZO9uhcR3p1k48Ze_T8?authuser=0&hl=am&rclk=1,Google Maps
Arba Minch Tourist Car Rental Agency,tour agency,tour agency,5.0(2),,,,https://www.google.com/maps/place/Arba+Minch+Tourist+Car+Rental+Agency/data=!4m7!3m6!1s0x17babd5c2c52528f:0xf2fb5afc4ecb1b99!8m2!3d6.0231231!4d37.5528664!16s%2Fg%2F11t2zcm6ys!19sChIJj1JSLFy9uhcRmRvLTvxa-_I?authuser=0&hl=am&rclk=1,Google Maps
Arba Minch Tour and car Rent,tour agency,የመኪና ኪራይ ኤጀንሲ,5.0(5),,,,https://www.google.com/maps/place/Arba+Minch+Tour+and+car+Rent/data=!4m7!3m6!1s0x17babd538900826b:0xe2c93351ec81e7e9!8m2!3d6.0236616!4d37.5556683!16s%2Fg%2F11vt65y12z!19sChIJa4IAiVO9uhcR6eeB7FEzyeI?authuser=0&hl=am&rclk=1,Google Maps
none toursty ethiopia tours,tour agency,አስጎብኚ ·  · hana buna,5.0(1),,,,https://www.google.com/maps/place/none+toursty+ethiopia+tours/data=!4m7!3m6!1s0x17babdb3d0f6cadf:0x7c84080e5ab45f42!8m2!3d6.0206054!4d37.5641095!16s%2Fg%2F11t9nw0lpp!19sChIJ38r20LO9uhcRQl-0Wg4IhHw?authuser=0&hl=am&rclk=1,Google Maps
Car Rental Arbaminch and Tour,tour agency,አስጎብኚ,5.0(6),,,,https://www.google.com/maps/place/Car+Rental+Arbaminch+and+Tour/data=!4m7!3m6!1s0x17babdb642d5fc23:0x33127776bfe8836b!8m2!3d6.0326732!4d37.5579779!16s%2Fg%2F11vyyslyx_!19sChIJI_zVQra9uhcRa4Pov3Z3EjM?authuser=0&hl=am&rclk=1,Google Maps
Canonis tours and travel,tour agency,የጎብኚ መረጃ ማዕከል · ,5.0(2),,,,https://www.google.com/maps/place/Canonis+tours+and+travel/data=!4m7!3m6!1s0x17babd0031eaaefb:0x5368f141e5ff24c3!8m2!3d6.0136156!4d37.5550517!16s%2Fg%2F11y78x7g_l!19sChIJ-67qMQC9uhcRwyT_5UHxaFM?authuser=0&hl=am&rclk=1,Google Maps
