name,types,categories,Google_Maps_link,Google_Maps_rating,TripAdvisor_link,TripAdvisor_rating,Bookingcom_link,Bookingcom_rating,Bookingcom_price,Bookingcom_address
Seluke Asa,restaurants,,https://www.google.com/maps/place/Seluke+Asa/data=!4m7!3m6!1s0x17babbf6c8caf9dd:0xf122d081da96a637!8m2!3d6.0117193!4d37.541409!16s%2Fg%2F11ksbbpxsx!19sChIJ3fnKyPa7uhcRN6aW2oHQIvE?authuser=0&hl=en&rclk=1,4.8(4),,,,,,
AMU Main Campus Lounge,restaurants,,https://www.google.com/maps/place/AMU+Main+Campus+Lounge/data=!4m7!3m6!1s0x17baa36725320bf7:0x949ce304fe15cfe3!8m2!3d6.0658855!4d37.5595722!16s%2Fg%2F1tm1mv52!19sChIJ9wsyJWejuhcR488V_gTjnJQ?authuser=0&hl=en&rclk=1,5.0(2),,,,,,
Soma Restaurant,restaurants,,https://www.google.com/maps/place/Soma+Restaurant/data=!4m7!3m6!1s0x17babb9b8e9c52db:0xc8186172a97f94c4!8m2!3d6.0092666!4d37.5390883!16s%2Fg%2F1thjr4sc!19sChIJ21Kcjpu7uhcRxJR_qXJhGMg?authuser=0&hl=en&rclk=1,3.7(20),,,,,,
Lucy Bar & Restaurant,restaurants,,https://www.google.com/maps/place/Lucy+Bar+%26+Restaurant/data=!4m7!3m6!1s0x17babb628904c5a3:0x1b4653c9003e9324!8m2!3d6.023525!4d37.5525922!16s%2Fg%2F11ddxsm9qw!19sChIJo8UEiWK7uhcRJJM-AMlTRhs?authuser=0&hl=en&rclk=1,3.9(14),,,,,,
Time Fish and Goat,restaurants,,https://www.google.com/maps/place/Time+Fish+and+Goat/data=!4m7!3m6!1s0x17babb34a999c511:0xf51ad857d5b3c396!8m2!3d6.0095123!4d37.5403335!16s%2Fg%2F11ks1bml_m!19sChIJEcWZqTS7uhcRlsOz1VfYGvU?authuser=0&hl=en&rclk=1,5.0(3),,,,,,
Mamush Asa,restaurants,,https://www.google.com/maps/place/Mamush+Asa/data=!4m7!3m6!1s0x17babb0cddde12c3:0xd5b6828ecdc2b4ed!8m2!3d6.034748!4d37.553118!16s%2Fg%2F11j4v96_hk!19sChIJwxLe3Qy7uhcR7bTCzY6CttU?authuser=0&hl=en&rclk=1,4.4(8),,,,,,
BaZol cafe & restaurant,restaurants,Restaurant · ,https://www.google.com/maps/place/BaZol+cafe+%26+restaurant/data=!4m7!3m6!1s0x17babdc26b7d2fa7:0x545da1819becb5c0!8m2!3d6.0346857!4d37.5570346!16s%2Fg%2F11tjpt32_l!19sChIJpy99a8K9uhcRwLXsm4GhXVQ?authuser=0&hl=en&rclk=1,3.0(2),,,,,,
Hano Coffee Bar,restaurants,,https://www.google.com/maps/place/Hano+Coffee+Bar/data=!4m7!3m6!1s0x17babd075426bc7d:0x6530d5ad0993ffbc!8m2!3d6.0338821!4d37.557203!16s%2Fg%2F11m_fvggqx!19sChIJfbwmVAe9uhcRvP-TCa3VMGU?authuser=0&hl=en&rclk=1,5.0(1),,,,,,
One Burger,restaurants,,https://www.google.com/maps/place/One+Burger/data=!4m7!3m6!1s0x17babb0cecbb6149:0x8edb9080ed5d4587!8m2!3d6.0230842!4d37.5529737!16s%2Fg%2F11sqtrvd5t!19sChIJSWG77Ay7uhcRh0Vd7YCQ244?authuser=0&hl=en&rclk=1,4.8(6),,,,,,
JEBM Cafe & Restaurant,restaurants,,https://www.google.com/maps/place/JEBM+Cafe+%26+Restaurant/data=!4m7!3m6!1s0x17babb90b37382c9:0x9330a1b86c4703ba!8m2!3d6.0047642!4d37.5375825!16s%2Fg%2F11c75xt9s1!19sChIJyYJzs5C7uhcRugNHbLihMJM?authuser=0&hl=en&rclk=1,3.2(9),,,,,,
